GENE	LINEAGE	CHR_query	Species	Amino acid length
IF4B	PPA	CM055487.2	PPA	611
IGF2	PPA	CM055482.2	PPA	555
IL1RL1	PPA	CM055484.2	PPA	557
IL3RA	PPA	CM055495.2	PPA	494
K1C15	PPA	CM055491.2	PPA	118
K2C8	PPA	CM055479.2	PPA	519
K2C8	PPA	CM055483.2	PPA	512
KBP	PPA	CM055496.2	PPA	622
KLH21	PPA	CM055484.2	PPA	448
LEG9C	PPA	CM055491.2	PPA	247
LORF1	PPA	CM055480.2	PPA	592
MAGAB	PPA	CM055495.2	PPA	430
MAPKBP1	PPA	CM055488.2	PPA	1509
MATR3	PPA	CM055472.2	PPA	779
MBD1	PPA	CM055492.2	PPA	188
MBD1	PPA	CM055492.2	PPA	229
MEIOB	PPA	CM055490.2	PPA	472
MGN2	PPA	CM055487.2	PPA	179
MORC2	PPA	CM055492.2	PPA	554
MPV17	PPA	CM055478.2	PPA	246
MSTRG.670	PPA	CM055480.2	PPA	1340
NBPF15	PPA	CM055472.2	PPA	677
NBPFC	PPA	CM055472.2	PPA	1966
NEU4	PPA	CM055482.2	PPA	498
NEUR4	PPA	CM055482.2	PPA	498
NPIA3	PPA	CM055490.2	PPA	398
NPIA3	PPA	CM055490.2	PPA	190
NPIPA8	PPA	CM055490.2	PPA	1312
NPIPB5	PPA	CM055490.2	PPA	768
NT2NA	PPA	CM055472.2	PPA	236
NT2NA	PPA	CM055472.2	PPA	384
NT2NA	PPA	CM055472.2	PPA	2154
O2T12	PPA	CM055472.2	PPA	321
OR1D2	PPA	CM055491.2	PPA	313
OR4K3	PPA	CM055475.2	PPA	304
OR4K3	PPA	CM055480.2	PPA	304
OR4K3	PPA	CM055483.2	PPA	304
OR4K3	PPA	CM055490.2	PPA	304
OSTP	PPA	CM055484.2	PPA	231
P4R3A	PPA	CM055475.2	PPA	821
PGK2	PPA	CM055482.2	PPA	418
PGK2	PPA	CM055492.2	PPA	423
PLCX3	PPA	CM055495.2	PPA	324
PLCX3	PPA	CM055496.2	PPA	324
PLCXD1	PPA	CM055496.2	PPA	324
POLR2J2	PPA	CM055478.2	PPA	160
PRAMEF11	PPA	CM055472.2	PPA	479
PRAMEF8	PPA	CM055472.2	PPA	475
PRLD1	PPA	CM055472.2	PPA	220
RAB26	PPA	CM055490.2	PPA	257
RAN	PPA	CM055487.2	PPA	217
RASF1	PPA	CM055472.2	PPA	420
RBMX2	PPA	CM055480.2	PPA	334
RCN1	PPA	CM055486.2	PPA	332
REN3A	PPA	CM055491.2	PPA	458
REN3A	PPA	CM055491.2	PPA	714
REN3A	PPA	CM055491.2	PPA	278
RHCE	PPA	CM055472.2	PPA	497
RHEB	PPA	CM055480.2	PPA	903
RHF2B	PPA	CM055495.2	PPA	282
RHF2B	PPA	CM055495.2	PPA	255
RHG21	PPA	CM055477.2	PPA	1892
RHOXF2B	PPA	CM055495.2	PPA	282
RL18A	PPA	CM055483.2	PPA	177
RL18A	PPA	CM055495.2	PPA	177
RL22	PPA	CM055472.2	PPA	111
RL22	PPA	CM055478.2	PPA	185
RNF4	PPA	CM055472.2	PPA	191
RS10	PPA	CM055478.2	PPA	189
RS10	PPA	CM055491.2	PPA	172
RS15A	PPA	CM055472.2	PPA	410
RS23	PPA	CM055479.2	PPA	144
S17A4	PPA	CM055477.2	PPA	498
SAHH	PPA	CM055477.2	PPA	433
SEPHS2	PPA	CM055490.2	PPA	449
SERF1	PPA	CM055476.2	PPA	110
SL9B1	PPA	CM055490.2	PPA	140
SL9B1	PPA	CM055490.2	PPA	150
SL9B1	PPA	CM055490.2	PPA	401
SL9B1	PPA	CM055496.2	PPA	485
SLC25A6	PPA	CM055496.2	PPA	299
SMPD4	PPA	CM055485.2	PPA	804
SPATA31A7	PPA	CM055483.2	PPA	1297
SPDE2	PPA	CM055478.2	PPA	378
SPDE5	PPA	CM055478.2	PPA	378
SPDYE16	PPA	CM055478.2	PPA	208
SPDYE16	PPA	CM055478.2	PPA	352
SPDYE16	PPA	CM055478.2	PPA	378
SRS11	PPA	CM055483.2	PPA	382
STA5A	PPA	CM055491.2	PPA	765
STRAA	PPA	CM055472.2	PPA	419
SVIL	PPA	CM055480.2	PPA	894
T191A	PPA	CM068945.1	PPA	158
TBB1	PPA	CM055477.2	PPA	296
TBX20	PPA	CM055482.2	PPA	205
TCP4	PPA	CM055479.2	PPA	124
THEM4	PPA	CM055488.2	PPA	242
TOM20	PPA	CM055481.2	PPA	202
TOP1	PPA	CM055472.2	PPA	212
TP53TG3D	PPA	CM055490.2	PPA	168
TPM4	PPA	CM055482.2	PPA	318
TPTE	PPA	CM068945.1	PPA	158
TPTE2	PPA	CM055486.2	PPA	182
TPTE2	PPA	CM055486.2	PPA	497
TRAF5	PPA	CM055476.2	PPA	248
TRIM49D1	PPA	CM055481.2	PPA	413
TS1R3	PPA	CM055488.2	PPA	195
TYB4	PPA	CM055478.2	PPA	37
UB2E1	PPA	CM055488.2	PPA	201
UB2E1	PPA	CM055491.2	PPA	110
UBP22	PPA	CM055481.2	PPA	531
UCRI	PPA	CM055492.2	PPA	275
VTI1B	PPA	CM055475.2	PPA	232
WAC2A	PPA	CM055480.2	PPA	1340
WBP2L	PPA	CM055484.2	PPA	332
ZBED1	PPA	CM055496.2	PPA	695
ZN239	PPA	CM055480.2	PPA	296
ZN626	PPA	CM055492.2	PPA	597
ZN682	PPA	CM055472.2	PPA	425
ZNF74	PPA	CM055492.2	PPA	550
ZY11B	PPA	CM055479.2	PPA	741
AB17A	Pan	CM055472.2	PPA	306
AB17A	Pan	CM055472.2	PPA	384
AB17A	Pan	CM055476.2	PPA	311
AB17A	Pan	CM055483.2	PPA	315
AB17A	Pan	CM068945.1	PPA	309
ACAP1	Pan	CM055480.2	PPA	168
AN20B	Pan	CM055484.2	PPA	859
AN20B	Pan	CM055484.2	PPA	820
BRD4	Pan	CM055472.2	PPA	644
BRD4	Pan	CM055475.2	PPA	594
C1TM	Pan	CM055483.2	PPA	196
CASP	Pan	CM055478.2	PPA	252
CASP	Pan	CM055478.2	PPA	352
CASP	Pan	CM055478.2	PPA	378
CASP	Pan	CM055478.2	PPA	344
CBWD1	Pan	CM055480.2	PPA	335
CCD92	Pan	CM055485.2	PPA	481
CHAP1	Pan	CM055484.2	PPA	422
CHAP1	Pan	CM055492.2	PPA	386
CLN3	Pan	CM055490.2	PPA	491
CLN3	Pan	CM055490.2	PPA	368
CLN3	Pan	CM055490.2	PPA	702
COTL1	Pan	CM055491.2	PPA	140
DCR1C	Pan	CM055479.2	PPA	290
DCR1C	Pan	CM055480.2	PPA	186
DDX11	Pan	CM055482.2	PPA	1058
DHB7	Pan	CM055480.2	PPA	342
DNJC9	Pan	CM055493.2	PPA	254
DTX2	Pan	CM055478.2	PPA	234
DTX2	Pan	CM055478.2	PPA	280
DTX2	Pan	CM055478.2	PPA	246
DTX2	Pan	CM055478.2	PPA	546
EFL1	Pan	CM055488.2	PPA	666
EIF3C	Pan	CM055490.2	PPA	814
EIF3C	Pan	CM055490.2	PPA	914
EIF3C	Pan	CM055490.2	PPA	738
EIF3C	Pan	CM055490.2	PPA	294
EIF3CL	Pan	CM055490.2	PPA	844
EIF3CL	Pan	CM055490.2	PPA	914
EIF3CL	Pan	CM055490.2	PPA	738
F106A	Pan	CM055491.2	PPA	156
F157B	Pan	CM055472.2	PPA	377
F157B	Pan	CM055487.2	PPA	225
F157B	Pan	CM055487.2	PPA	309
F185A	Pan	CM055478.2	PPA	366
F90AP	Pan	CM055479.2	PPA	467
F90AP	Pan	CM055479.2	PPA	465
FAHD1	Pan	CM055490.2	PPA	259
FAHD1	Pan	CM055490.2	PPA	472
GGT6	Pan	CM068945.1	PPA	253
GLO2	Pan	CM055490.2	PPA	309
GLO2	Pan	CM055490.2	PPA	313
GLPK	Pan	CM055475.2	PPA	560
GLPK	Pan	CM055495.2	PPA	554
GLRX3	Pan	CM055472.2	PPA	271
GLRX3	Pan	CM055472.2	PPA	396
GRAP	Pan	CM055472.2	PPA	152
HIG1A	Pan	CM055475.2	PPA	336
HIG1A	Pan	CM055481.2	PPA	125
HYAS2	Pan	CM055478.2	PPA	553
ICAM2	Pan	CM055491.2	PPA	463
IF4A3	Pan	CM055491.2	PPA	412
INT4	Pan	CM055478.2	PPA	439
INT4	Pan	CM055478.2	PPA	448
KANK4	Pan	CM055493.2	PPA	957
KCTD9	Pan	CM055476.2	PPA	219
KLF7	Pan	CM055472.2	PPA	408
LAT1N	Pan	CM055490.2	PPA	345
LAT1N	Pan	CM055490.2	PPA	191
LAT1N	Pan	CM055490.2	PPA	307
MEIG1	Pan	CM055480.2	PPA	98
METTL2B	Pan	CM055478.2	PPA	379
MF14C	Pan	CM055483.2	PPA	141
NBPF9	Pan	CM055472.2	PPA	513
NPB15	Pan	CM055490.2	PPA	462
NPB15	Pan	CM055490.2	PPA	441
NPB15	Pan	CM055490.2	PPA	418
NPB15	Pan	CM055490.2	PPA	595
NPB15	Pan	CM055490.2	PPA	457
NPB15	Pan	CM055490.2	PPA	463
NPIB2	Pan	CM055490.2	PPA	267
NPIB6	Pan	CM055490.2	PPA	559
NPIB6	Pan	CM055490.2	PPA	664
NPIB6	Pan	CM055490.2	PPA	436
NPIB6	Pan	CM055490.2	PPA	606
NPIB6	Pan	CM055490.2	PPA	632
NPIB6	Pan	CM055491.2	PPA	372
NPIB8	Pan	CM055489.2	PPA	459
NPIB8	Pan	CM055489.2	PPA	441
NPIB8	Pan	CM055490.2	PPA	640
NPIB8	Pan	CM055490.2	PPA	636
NPIB8	Pan	CM055490.2	PPA	412
NPIB8	Pan	CM055490.2	PPA	420
NPIB8	Pan	CM055490.2	PPA	668
NPIB8	Pan	CM055490.2	PPA	484
NPIB8	Pan	CM055490.2	PPA	489
NPIB9	Pan	CM055490.2	PPA	289
NPIB9	Pan	CM055490.2	PPA	354
NPIB9	Pan	CM055490.2	PPA	672
OR6B2	Pan	CM055485.2	PPA	388
OTOAN	Pan	CM055490.2	PPA	398
OTOAN	Pan	CM055490.2	PPA	362
OTOAN	Pan	CM055490.2	PPA	597
POTEM	Pan	CM055487.2	PPA	310
PPP2R3B	Pan	CM055496.2	PPA	576
PRDM7	Pan	CM055475.2	PPA	450
PRDM7	Pan	CM055476.2	PPA	450
PRDM7	Pan	CM055477.2	PPA	450
PRDM7	Pan	CM055479.2	PPA	227
PRDM7	Pan	CM055480.2	PPA	227
PRDM7	Pan	CM055482.2	PPA	450
PRDM7	Pan	CM055483.2	PPA	450
PRDM7	Pan	CM055483.2	PPA	227
PRDM7	Pan	CM055487.2	PPA	139
PRDM7	Pan	CM055490.2	PPA	138
PRDM7	Pan	CM055495.2	PPA	541
PRDM7	Pan	CM055496.2	PPA	413
RBMS3	Pan	CM055482.2	PPA	405
RGL4	Pan	CM068945.1	PPA	583
RGL4	Pan	CM068945.1	PPA	688
RGPD5	Pan	CM055484.2	PPA	1481
RGPD5	Pan	CM055484.2	PPA	1767
RWDD3	Pan	CM055475.2	PPA	189
RWDD3	Pan	CM055494.2	PPA	189
S10AB	Pan	CM055478.2	PPA	753
S10AB	Pan	CM055478.2	PPA	550
S31A1	Pan	CM055483.2	PPA	1297
S31D1	Pan	CM055483.2	PPA	1574
SEC22B	Pan	CM055472.2	PPA	215
SH2B2	Pan	CM055478.2	PPA	322
SH2B2	Pan	CM055478.2	PPA	629
SHISAL1	Pan	CM068945.1	PPA	200
SL9A1	Pan	CM055490.2	PPA	350
SL9A1	Pan	CM055490.2	PPA	381
SL9A1	Pan	CM055490.2	PPA	228
SL9A1	Pan	CM055490.2	PPA	655
SO1B3	Pan	CM055482.2	PPA	548
SO1B3	Pan	CM055482.2	PPA	703
SPD12	Pan	CM055478.2	PPA	266
SPD12	Pan	CM055478.2	PPA	191
SPD12	Pan	CM055478.2	PPA	281
SPD21	Pan	CM055478.2	PPA	377
SPDE1	Pan	CM055478.2	PPA	171
SPDE1	Pan	CM055478.2	PPA	402
SPDYE8	Pan	CM055478.2	PPA	191
SPDYE8	Pan	CM055478.2	PPA	146
SPI2B	Pan	CM055495.2	PPA	259
SPSY	Pan	CM055476.2	PPA	371
SPSY	Pan	CM055478.2	PPA	367
T53G5	Pan	CM055490.2	PPA	122
T53G5	Pan	CM055490.2	PPA	168
TBCD	Pan	CM055486.2	PPA	394
TEKT1	Pan	CM055488.2	PPA	172
TLK2	Pan	CM055478.2	PPA	371
TLK2	Pan	CM055491.2	PPA	752
TMEM191C	Pan	CM068945.1	PPA	386
TRI42	Pan	CM055491.2	PPA	349
TUBA3E	Pan	CM055485.2	PPA	460
TUBA3E	Pan	CM055485.2	PPA	443
TXNIP	Pan	CM055472.2	PPA	271
TXNIP	Pan	CM055472.2	PPA	396
UPK3B	Pan	CM055478.2	PPA	277
UPK3B	Pan	CM055478.2	PPA	154
UPK3B	Pan	CM055478.2	PPA	243
YF016	Pan	CM055477.2	PPA	417
ZBT46	Pan	CM055475.2	PPA	426
ZDH11	Pan	CM055472.2	PPA	391
ZDH11	Pan	CM055476.2	PPA	449
ZFAT	Pan	CM055492.2	PPA	781
ZN687	Pan	CM055475.2	PPA	863
ZNG1A	Pan	CM055472.2	PPA	365
ZNG1A	Pan	CM055475.2	PPA	332
ZNG1A	Pan	CM055476.2	PPA	365
ZNG1A	Pan	CM055477.2	PPA	365
ZNG1A	Pan	CM055478.2	PPA	332
ZNG1A	Pan	CM055480.2	PPA	335
ZNG1A	Pan	CM055480.2	PPA	316
ZNG1A	Pan	CM055483.2	PPA	336
ZNG1A	Pan	CM055486.2	PPA	336
ZNG1A	Pan	CM055490.2	PPA	317
ANKRD36B	PPY	CM054642.2	PPY	2437
APOC1	PPY	CM054650.2	PPY	92
BBC3B	PPY	CM054635.2	PPY	289
BPTF	PPY	CM054649.2	PPY	131
CA5BL	PPY	CM054653.2	PPY	201
CIC	PPY	CM054633.2	PPY	219
CNTNAP3	PPY	CM054643.2	PPY	1142
COX11	PPY	CM054635.2	PPY	232
COX11	PPY	CM054635.2	PPY	318
CP3A7	PPY	CM054636.2	PPY	504
CXCL8	PPY	CM054633.2	PPY	102
DAZ3	PPY	CM054654.2	PPY	840
DAZ3	PPY	CM054654.2	PPY	728
DAZ3	PPY	CM054654.2	PPY	660
DAZ3	PPY	CM054654.2	PPY	690
DAZ4	PPY	CM054654.2	PPY	780
DAZ4	PPY	CM054654.2	PPY	734
DAZ4	PPY	CM054654.2	PPY	473
DAZ4	PPY	CM054654.2	PPY	728
DAZ4	PPY	CM054654.2	PPY	922
EPM2A	PPY	CM054648.2	PPY	272
FA47A	PPY	CM054654.2	PPY	777
FA47A	PPY	CM054654.2	PPY	875
FMN2	PPY	CM068908.1	PPY	297
GOG8F	PPY	CM054646.2	PPY	657
GOLGA6L22	PPY	CM054646.2	PPY	716
GOLGA8F	PPY	CM054646.2	PPY	614
GOLGA8H	PPY	CM054646.2	PPY	667
GOLGA8R	PPY	CM054646.2	PPY	622
H2AZ	PPY	CM068907.1	PPY	129
HMR1	PPY	CM054630.2	PPY	341
HSFY2	PPY	CM054654.2	PPY	405
IL36B	PPY	CM054633.2	PPY	102
INSR	PPY	CM054638.2	PPY	1367
IT70B	PPY	CM054641.2	PPY	666
IWS1	PPY	CM068907.1	PPY	340
KAD5	PPY	CM054654.2	PPY	214
KAD5	PPY	CM054654.2	PPY	313
KAD5	PPY	CM054654.2	PPY	205
KIF27	PPY	CM054643.2	PPY	539
KIF27	PPY	CM054643.2	PPY	861
KPRP	PPY	CM068907.1	PPY	321
KR105	PPY	CM054630.2	PPY	635
LR75B	PPY	CM068908.1	PPY	404
MAGEA9	PPY	CM054653.2	PPY	316
MED8	PPY	CM054640.2	PPY	179
MTMR9	PPY	CM054635.2	PPY	180
NPIB5	PPY	CM054639.2	PPY	701
NPIPA3	PPY	CM054644.2	PPY	720
NTM2B	PPY	CM054638.2	PPY	869
NUTM2F	PPY	CM054638.2	PPY	806
O10G3	PPY	CM054645.2	PPY	322
OR4K1	PPY	CM054645.2	PPY	312
OR4K2	PPY	CM054645.2	PPY	315
P23D1	PPY	CM054637.2	PPY	280
PCLO	PPY	CM054648.2	PPY	539
PEPD	PPY	CM054649.2	PPY	231
PHB1	PPY	CM054640.2	PPY	240
PMS2L	PPY	CM054636.2	PPY	374
PPAC	PPY	CM054638.2	PPY	159
PRKY	PPY	CM054653.2	PPY	537
PRMT3	PPY	CM054639.2	PPY	532
PRR23D2	PPY	CM054637.2	PPY	280
PRSS2	PPY	CM054636.2	PPY	248
PSG8	PPY	CM054650.2	PPY	328
RL4	PPY	CM054643.2	PPY	507
RS27	PPY	CM054650.2	PPY	132
SCNNG	PPY	CM054648.2	PPY	224
SF3A3	PPY	CM054638.2	PPY	157
SH3G1	PPY	CM054649.2	PPY	1585
SPDE6	PPY	CM054649.2	PPY	305
SPDYE4	PPY	CM054649.2	PPY	238
SPDYE4	PPY	CM054649.2	PPY	315
SPDYE4	PPY	CM054649.2	PPY	201
SSX2	PPY	CM054653.2	PPY	171
SSX2	PPY	CM054653.2	PPY	548
SSX2B	PPY	CM054653.2	PPY	224
SSX3	PPY	CM054653.2	PPY	224
SSX7	PPY	CM054653.2	PPY	130
SSX7	PPY	CM054653.2	PPY	242
SSX7	PPY	CM054653.2	PPY	224
SSX7	PPY	CM054653.2	PPY	236
ST1C3	PPY	CM054642.2	PPY	202
ST1C4	PPY	CM054642.2	PPY	308
ST1C4	PPY	CM054642.2	PPY	198
ST1C4	PPY	CM054642.2	PPY	348
SYCY1	PPY	CM054642.2	PPY	80
TBA4A	PPY	CM068908.1	PPY	127
TBC1D3	PPY	CM054649.2	PPY	564
TBC1D3B	PPY	CM054649.2	PPY	541
TBC1D3B	PPY	CM054649.2	PPY	635
TBC1D3E	PPY	CM054649.2	PPY	531
TBC1D3G	PPY	CM054649.2	PPY	582
TBC1D3I	PPY	CM054649.2	PPY	548
TBC1D3K	PPY	CM054649.2	PPY	548
TBC3K	PPY	CM054649.2	PPY	223
TBL1Y	PPY	CM054654.2	PPY	432
TCPZ	PPY	CM054649.2	PPY	396
TCPZ	PPY	CM054649.2	PPY	214
TIF1B	PPY	CM054650.2	PPY	210
TP53TG3C	PPY	CM054648.2	PPY	241
TRBC2	PPY	CM054636.2	PPY	230
TRIM6	PPY	CM054633.2	PPY	472
TRY2	PPY	CM054636.2	PPY	248
TRY2	PPY	CM054636.2	PPY	262
TSPY8	PPY	CM054654.2	PPY	265
ZA2G	PPY	CM054636.2	PPY	299
ZA2G	PPY	CM054636.2	PPY	116
ZBT21	PPY	CM054642.2	PPY	220
ZMY11	PPY	CM054649.2	PPY	183
ZMY12	PPY	CM054644.2	PPY	386
ZN473	PPY	CM054649.2	PPY	225
ZN573	PPY	CM054650.2	PPY	681
ZN587	PPY	CM054650.2	PPY	574
ZN716	PPY	CM054636.2	PPY	490
ZNF33B	PPY	CM054638.2	PPY	863
ZNF658	PPY	CM054643.2	PPY	1057
ZNF717	PPY	CM054644.2	PPY	
ZNHIT3	PPY	CM054649.2	PPY	971
AMYP	Pongo	CM054630.2	PPY	512
AN36A	Pongo	CM054642.2	PPY	646
AN36A	Pongo	CM054652.2	PPY	317
AN36A	Pongo	CM068908.1	PPY	2184
ANM7	Pongo	CM054639.2	PPY	532
ANP32E	Pongo	CM054630.2	PPY	268
APBB1	Pongo	CM054646.2	PPY	361
APBB1	Pongo	CM054646.2	PPY	251
APBB1	Pongo	CM054646.2	PPY	302
APBB1	Pongo	CM054646.2	PPY	97
APBB1	Pongo	CM054646.2	PPY	358
AT8A2	Pongo	CM054644.2	PPY	488
AT8A2	Pongo	CM054644.2	PPY	558
BRCC3	Pongo	CM054634.2	PPY	322
CAH6	Pongo	CM054637.2	PPY	263
CAH6	Pongo	CM054637.2	PPY	340
CASPC	Pongo	CM054639.2	PPY	422
CASPC	Pongo	CM054639.2	PPY	356
CBX7	Pongo	CM054635.2	PPY	255
CCNQ	Pongo	CM054634.2	PPY	249
CEP20	Pongo	CM054648.2	PPY	185
CNTP4	Pongo	CM054641.2	PPY	1401
COG7	Pongo	CM054648.2	PPY	743
COG7	Pongo	CM054648.2	PPY	771
CP250	Pongo	CM054640.2	PPY	211
CP250	Pongo	CM054648.2	PPY	211
CP7B1	Pongo	CM054637.2	PPY	438
CREG2	Pongo	CM054642.2	PPY	185
CREG2	Pongo	CM054642.2	PPY	224
CST1	Pongo	CM054651.2	PPY	141
CT47A	Pongo	CM054653.2	PPY	301
CT47A7	Pongo	CM054653.2	PPY	301
CTAGE15	Pongo	CM054636.2	PPY	776
CTGEF	Pongo	CM054636.2	PPY	776
CTGEF	Pongo	CM054644.2	PPY	776
CYTN	Pongo	CM054651.2	PPY	142
CYTN	Pongo	CM054651.2	PPY	141
CYTSA	Pongo	CM068908.1	PPY	985
D19P2	Pongo	CM054636.2	PPY	190
DPF3	Pongo	CM054650.2	PPY	436
DRICH1	Pongo	CM068908.1	PPY	336
ERR1	Pongo	CM054636.2	PPY	282
ERR1	Pongo	CM054641.2	PPY	423
F182A	Pongo	CM054649.2	PPY	229
FSCN2	Pongo	CM054646.2	PPY	493
FSCN2	Pongo	CM054646.2	PPY	215
FSCN2	Pongo	CM054646.2	PPY	199
GCC1	Pongo	CM054642.2	PPY	2023
GCC1	Pongo	CM054642.2	PPY	600
GCC1	Pongo	CM054642.2	PPY	449
GCC1	Pongo	CM054650.2	PPY	698
GCC2	Pongo	CM054642.2	PPY	1670
GLUD2	Pongo	CM054653.2	PPY	559
GLYG2	Pongo	CM054654.2	PPY	449
GOG6B	Pongo	CM054646.2	PPY	741
GOG6B	Pongo	CM054646.2	PPY	592
GOG6B	Pongo	CM054646.2	PPY	752
GOG6D	Pongo	CM054646.2	PPY	682
GOG8H	Pongo	CM054646.2	PPY	614
GOG8H	Pongo	CM054646.2	PPY	629
GOLGA6A	Pongo	CM054646.2	PPY	934
GOLGA6L1	Pongo	CM054646.2	PPY	749
GOLGA6L1	Pongo	CM054646.2	PPY	750
GOLGA6L6	Pongo	CM054646.2	PPY	731
GOLGA8O	Pongo	CM054646.2	PPY	622
GUSB	Pongo	CM054636.2	PPY	462
HEATR6	Pongo	CM054649.2	PPY	1204
ICAM5	Pongo	CM054649.2	PPY	516
IL32	Pongo	CM054648.2	PPY	170
KCTD5	Pongo	CM054648.2	PPY	416
LITAF	Pongo	CM054648.2	PPY	162
LYSC	Pongo	CM054642.2	PPY	213
M4A6A	Pongo	CM054639.2	PPY	405
MAGB4	Pongo	CM054653.2	PPY	316
MAGB4	Pongo	CM054653.2	PPY	312
MAGC1	Pongo	CM054653.2	PPY	679
MAGC1	Pongo	CM054653.2	PPY	1306
MAGC1	Pongo	CM054653.2	PPY	1179
MCTP2	Pongo	CM054646.2	PPY	729
MCTP2	Pongo	CM054646.2	PPY	214
MCTP2	Pongo	CM054646.2	PPY	749
MCTP2	Pongo	CM054646.2	PPY	731
MCTP2	Pongo	CM054646.2	PPY	125
MICA	Pongo	CM054635.2	PPY	393
MIPEP	Pongo	CM054644.2	PPY	861
MIPEP	Pongo	CM054644.2	PPY	737
MIPEP	Pongo	CM054644.2	PPY	706
MIPEP	Pongo	CM054644.2	PPY	720
MIX23	Pongo	CM054647.2	PPY	177
MMP23	Pongo	CM054630.2	PPY	425
MORC4	Pongo	CM054638.2	PPY	277
MORC4	Pongo	CM054650.2	PPY	677
MSTRG.2403	Pongo	CM054649.2	PPY	528
MUC2	Pongo	CM068907.1	PPY	365
MUC20	Pongo	CM068907.1	PPY	542
MUC20	Pongo	CM068907.1	PPY	1026
MUC4	Pongo	CM068907.1	PPY	161
MUC4	Pongo	CM068907.1	PPY	1058
MUC4	Pongo	CM068907.1	PPY	1026
MYO19	Pongo	CM054649.2	PPY	971
MYO19	Pongo	CM054649.2	PPY	548
MYO19	Pongo	CM054649.2	PPY	631
NBR1	Pongo	CM054643.2	PPY	244
NBR1	Pongo	CM054649.2	PPY	113
NP1L4	Pongo	CM054630.2	PPY	387
NUD11	Pongo	CM054653.2	PPY	283
NUTM2A	Pongo	CM054638.2	PPY	869
O10A7	Pongo	CM054650.2	PPY	325
PIGW	Pongo	CM054649.2	PPY	505
PIGW	Pongo	CM054649.2	PPY	573
PPIE	Pongo	CM054630.2	PPY	261
PRKX	Pongo	CM054653.2	PPY	537
PRPC	Pongo	CM054640.2	PPY	167
PSG1	Pongo	CM054650.2	PPY	420
PSIP1	Pongo	CM054647.2	PPY	572
PSIP1	Pongo	CM054647.2	PPY	571
PSIP1	Pongo	CM054647.2	PPY	547
PSIP1	Pongo	CM054647.2	PPY	574
PSIP1	Pongo	CM054647.2	PPY	570
QCR2	Pongo	CM054648.2	PPY	399
QCR2	Pongo	CM054648.2	PPY	389
QCR2	Pongo	CM054648.2	PPY	454
RBIS	Pongo	CM054637.2	PPY	101
RFX8	Pongo	CM054642.2	PPY	929
RFX8	Pongo	CM054642.2	PPY	918
RFX8	Pongo	CM054642.2	PPY	656
RL18	Pongo	CM054630.2	PPY	298
RMI1	Pongo	CM054648.2	PPY	148
RS3A	Pongo	CM054633.2	PPY	265
S26A4	Pongo	CM054653.2	PPY	308
SERB	Pongo	CM054636.2	PPY	164
SERB	Pongo	CM054636.2	PPY	192
SORC3	Pongo	CM054644.2	PPY	262
SPDE4	Pongo	CM054649.2	PPY	315
SPDE4	Pongo	CM054649.2	PPY	238
SPDE7	Pongo	CM054636.2	PPY	280
SPDE7	Pongo	CM054636.2	PPY	281
SRSF9	Pongo	CM054644.2	PPY	120
SSPO	Pongo	CM054636.2	PPY	5078
SSPO	Pongo	CM054636.2	PPY	1045
TBC1D28	Pongo	CM054649.2	PPY	84
TENS3	Pongo	CM054649.2	PPY	448
TENS3	Pongo	CM054649.2	PPY	477
TENS3	Pongo	CM054649.2	PPY	468
TENS3	Pongo	CM054649.2	PPY	494
TENS3	Pongo	CM054649.2	PPY	436
TM231	Pongo	CM054648.2	PPY	88
TN13B	Pongo	CM054649.2	PPY	157
TRIM73	Pongo	CM054636.2	PPY	370
TUBB8	Pongo	CM068908.1	PPY	298
TV23B	Pongo	CM054648.2	PPY	205
TXD17	Pongo	CM054642.2	PPY	180
TXD17	Pongo	CM054642.2	PPY	227
UBP5	Pongo	CM054648.2	PPY	634
UBP5	Pongo	CM054648.2	PPY	386
UBP5	Pongo	CM054648.2	PPY	1361
UBP54	Pongo	CM054637.2	PPY	518
UBP54	Pongo	CM054637.2	PPY	514
UBP54	Pongo	CM054637.2	PPY	542
UBP54	Pongo	CM054637.2	PPY	623
UBP54	Pongo	CM054649.2	PPY	1407
UBP54	Pongo	CM054649.2	PPY	210
YB057	Pongo	CM054643.2	PPY	404
Z705A	Pongo	CM054646.2	PPY	276
ZBT7A	Pongo	CM054650.2	PPY	460
ZN135	Pongo	CM054635.2	PPY	189
ZN195	Pongo	CM054633.2	PPY	235
ZN417	Pongo	CM054650.2	PPY	577
ZN467	Pongo	CM054636.2	PPY	637
ZN622	Pongo	CM054637.2	PPY	101
ZN646	Pongo	CM054641.2	PPY	587
ZN646	Pongo	CM054641.2	PPY	915
ZN646	Pongo	CM054644.2	PPY	398
ZN646	Pongo	CM054646.2	PPY	317
ZN646	Pongo	CM054652.2	PPY	418
ZN646	Pongo	CM054654.2	PPY	398
ZN646	Pongo	CM068907.1	PPY	914
ZN646	Pongo	CM068907.1	PPY	517
ZNF492	Pongo	CM054650.2	PPY	574
ZNF705D	Pongo	CM054646.2	PPY	276
ZNF716	Pongo	CM054636.2	PPY	490
6PGD	PTR	CM054446.2	PTR	439
AG1L2	PTR	CM054441.2	PTR	484
AG1L2	PTR	CM054442.2	PTR	142
AQP7B	PTR	CM054446.2	PTR	404
ASSY	PTR	CM054439.2	PTR	208
BMI1	PTR	CM054441.2	PTR	327
BRD9	PTR	CM054434.2	PTR	644
