gene	chrom	lineage	status	assembly	raw_id
TSR2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000158526
ZNF674	X	ATELES_MARGINATUS	M	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000251192
ACSL4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000068366
ZIC3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000156925
TCEAL7	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000182916
PLP1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000123560
USP9X	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000124486
ZFX	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000005889
SAT1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000130066
TAFAZZIN	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102125
SCML1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000047634
PRR32	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000183631
WDR45	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000196998
MAGEB5	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000188408
KDM5C	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126012
IQSEC2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000124313
HSFX1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000171116
GAGE1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000205777
RTL3	X	ATELES_MARGINATUS	L	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000179300
NHSL2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000204131
XAGE1A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000204379
ARHGAP4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000089820
RAB40AL	X	ATELES_MARGINATUS	M	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102128
RTL4	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000187823
TMLHE	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000185973
TCEAL1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000172465
CSAG2	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000268902
ARSD	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000006756
CTAG1A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000268651
RTL8C	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000134590
CHRDL1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000101938
MTCP1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000214827
RS1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102104
TFDP3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000183434
MAGIX	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000269313
EOLA1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000197620
GABRE	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102287
RAP2C	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000123728
CNGA2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000183862
TAF9B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000187325
RPL10	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147403
ZNF41	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147124
PABIR2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000156504
FAM104B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000182518
ZNF75D	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000186376
FAM3A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000071889
WNK3	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000196632
POLA1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000101868
GATA1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102145
FAM50A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000071859
PAGE3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000204279
USP26	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000134588
DLG3	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000082458
PDK3	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000067992
ETDA	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000238210
HTR2C	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147246
S100G	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000169906
OPN1MW3	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000269433
PCDH19	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165194
RIPPLY1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147223
NONO	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147140
RPS6KA3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000177189
ARHGAP6	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000047648
GLA	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102393
F8A2	X	ATELES_MARGINATUS	PG	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000288709
MORF4L2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000123562
MAGEC1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000155495
CITED1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000125931
KLHL15	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000174010
P2RY4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000186912
PNCK	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000130822
FAM236C	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000283594
IDH3G	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000067829
ENSG00000241489	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000241489
MAGEA11	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000185247
CT47A8	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000230347
HDAC8	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147099
OFD1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000046651
ARSL	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000157399
FRMPD4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000169933
TMEM35A	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126950
FLNA	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000196924
ERCC6L	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000186871
SSX4	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000268009
ARR3	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000120500
UXT	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126756
NOX1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000007952
PIN4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102309
DRP2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102385
ATP1B4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000101892
FGF13	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000129682
ZNF185	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147394
SLC10A3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126903
GPM6B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000046653
FAM236D	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000225396
PNMA3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000183837
CUL4B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000158290
H2BW1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000123569
RLIM	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000131263
USP11	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102226
ITGB1BP2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147166
ACOT9	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000123130
DCAF8L1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000226372
OCRL	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000122126
MAP3K15	X	ATELES_MARGINATUS	PM	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000180815
PAGE5	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000158639
KDM6A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147050
ARAF	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000078061
NAA10	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102030
FUNDC2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165775
ZBED1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000214717
SMIM9	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000203870
LAMP2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000005893
VSIG4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000155659
SRPX2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102359
TCEAL3	X	ATELES_MARGINATUS	M	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000196507
AMELX	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000125363
MORC4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000133131
TMEM185A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000269556
FAM47B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000189132
POF1B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000124429
AIFM1	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000156709
GPR119	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147262
RPL39	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000198918
TBX22	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000122145
TRO	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000067445
MBNL3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000076770
MSN	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147065
MAGEB2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000099399
AR	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000169083
HNRNPH2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126945
SMIM10L2B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000196972
GJB1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000169562
APEX2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000169188
ADGRG2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000173698
BEX4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102409
MAGEA9B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000267978
SH3BGRL	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000131171
GK	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000198814
ALAS2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000158578
EGFL6	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000198759
CXCR3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000186810
FOXR2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000189299
LRCH2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000130224
CT47A12	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000226685
MID1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000101871
MAGED4B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000187243
ASB9	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102048
SLC9A7	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000065923
LPAR4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147145
BRCC3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000185515
NXF2B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000269437
PABPC5	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000174740
HSD17B10	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000072506
GRIPAP1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000068400
SLC25A14	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102078
SSX3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165584
SMC1A	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000072501
PDHA1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000131828
HSFX4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000283463
LAS1L	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000001497
PRRG1	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000130962
SLC9A6	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000198689
NLRP2B	X	ATELES_MARGINATUS	PG	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000215174
MSL3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000005302
BCOR	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000183337
CCDC120	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147144
SMIM10L2A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000178947
ALG13	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000101901
GAGE12H	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000224902
SPIN3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000204271
ARMCX4	X	ATELES_MARGINATUS	L	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000196440
FRMD7	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165694
XAGE3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000171402
EFNB1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000090776
SSX1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126752
BCAP31	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000185825
MAGEB4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000120289
BCORL1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000085185
OGT	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147162
DIAPH2	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147202
ETDB	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000224107
FOXO4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000184481
BGN	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000182492
XAGE5	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000171405
AMMECR1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000101935
XAGE1B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000204382
H2AP	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000187516
DUSP9	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000130829
ASB11	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165192
TMEM164	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000157600
RPS4X	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000198034
TSC22D3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000157514
RENBP	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102032
SLC6A14	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000268104
VCX	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000182583
KLHL13	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000003096
PAGE1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000068985
TEX28	X	ATELES_MARGINATUS	L	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000278057
CSF2RA	X	ATELES_MARGINATUS	M	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000198223
PIGA	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165195
CXORF51A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000224440
SSX2B	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000268447
RAB41	X	ATELES_MARGINATUS	PI	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147127
KLHL4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000102271
SH2D1A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000183918
AP1S2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000182287
ATRX	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000085224
RBMXL3	X	ATELES_MARGINATUS	L	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000175718
GNL3L	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000130119
COL4A6	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000197565
ZMYM3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000147130
ELK1	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000126767
ATP2B3	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000067842
XPNPEP2	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000122121
INTS6L	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000165359
MAGED4	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000154545
TMEM255A	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000125355
WASH6P	X	ATELES_MARGINATUS	UL	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000182484
APOOL	X	ATELES_MARGINATUS	I	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000155008
SLC25A6	X	ATELES_MARGINATUS	M	Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1	ENSG00000169100
