GENE	GENE_ID	CHR	LINEAGE	CONSEQUENCE	GENE_TYPE
UBXN11	ENSG00000158062	chr1	Gorilla	inframe_deletion	protein_coding
UBXN11	ENSG00000158062	chr1	Orangutan	inframe_deletion	protein_coding
UBXN11	ENSG00000158062	chr1	Gibbon	inframe_deletion	protein_coding
UBXN11	ENSG00000158062	chr1	Macaque_indian	inframe_deletion	protein_coding
UBXN11	ENSG00000158062	chr1	Marmoset	inframe_deletion	protein_coding
UBXN11	ENSG00000158062	chr1	Owl_monkey	inframe_deletion	protein_coding
AL033530.1	ENSG00000285407	chr1	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL033530.1	ENSG00000285407	chr1	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
PHKA1P1	ENSG00000232882	chr1	Bonobo	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Chimpanzee	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Gorilla	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Orangutan	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Gibbon	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Macaque_indian	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Marmoset	transcript ablation	processed_pseudogene
PHKA1P1	ENSG00000232882	chr1	Owl_monkey	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Bonobo	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Chimpanzee	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Gorilla	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Orangutan	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Gibbon	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Macaque_indian	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Marmoset	transcript ablation	processed_pseudogene
RPL7P9	ENSG00000137970	chr1	Owl_monkey	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Bonobo	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Chimpanzee	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Gorilla	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Orangutan	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Gibbon	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Macaque_indian	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Marmoset	transcript ablation	processed_pseudogene
RPL21P16	ENSG00000220842	chr10	Owl_monkey	transcript ablation	processed_pseudogene
AL390763.1	ENSG00000234640	chr10	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL390763.1	ENSG00000234640	chr10	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
NLRP10	ENSG00000182261	chr11	Bonobo	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Chimpanzee	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Gorilla	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Orangutan	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Gibbon	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Macaque_indian	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Marmoset	stop_gained&frameshift_variant	protein_coding
NLRP10	ENSG00000182261	chr11	Owl_monkey	stop_gained&frameshift_variant	protein_coding
CLPB	ENSG00000162129	chr11	Bonobo	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Chimpanzee	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Gorilla	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Orangutan	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Gibbon	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Macaque_indian	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Marmoset	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
CLPB	ENSG00000162129	chr11	Owl_monkey	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
BCAS2P1	ENSG00000255051	chr11	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
BCAS2P1	ENSG00000255051	chr11	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AP001790.1	ENSG00000250390	chr11	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AP001790.1	ENSG00000250390	chr11	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
BMPR1AP2	ENSG00000232460	chr11	Bonobo	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Chimpanzee	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Gorilla	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Orangutan	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Gibbon	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Macaque_indian	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Marmoset	transcript ablation	processed_pseudogene
BMPR1AP2	ENSG00000232460	chr11	Owl_monkey	transcript ablation	processed_pseudogene
ITFG2	ENSG00000111203	chr12	Bonobo	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Chimpanzee	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Gorilla	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Orangutan	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Gibbon	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Macaque_indian	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ITFG2	ENSG00000111203	chr12	Owl_monkey	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
AC079950.2	ENSG00000283545	chr12	Bonobo	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Chimpanzee	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Gorilla	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Orangutan	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Gibbon	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Macaque_indian	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Marmoset	transcript ablation	snRNA
AC079950.2	ENSG00000283545	chr12	Owl_monkey	transcript ablation	snRNA
RPL14P1	ENSG00000139239	chr12	Bonobo	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Chimpanzee	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Gorilla	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Orangutan	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Gibbon	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Macaque_indian	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Marmoset	transcript ablation	processed_pseudogene
RPL14P1	ENSG00000139239	chr12	Owl_monkey	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Bonobo	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Chimpanzee	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Gorilla	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Orangutan	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Gibbon	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Macaque_indian	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Marmoset	transcript ablation	processed_pseudogene
RPL41P5	ENSG00000256393	chr12	Owl_monkey	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Bonobo	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Chimpanzee	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Gorilla	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Orangutan	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Gibbon	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Macaque_indian	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Marmoset	transcript ablation	processed_pseudogene
AC012085.1	ENSG00000186076	chr12	Owl_monkey	transcript ablation	processed_pseudogene
AC002351.1	ENSG00000258240	chr12	Bonobo	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Chimpanzee	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Gorilla	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Orangutan	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Gibbon	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC002351.1	ENSG00000258240	chr12	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02341	ENSG00000283554	chr13	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
DGKZP1	ENSG00000179611	chr13	Bonobo	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Chimpanzee	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Gorilla	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Orangutan	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Gibbon	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Macaque_indian	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Marmoset	transcript ablation	processed_pseudogene
DGKZP1	ENSG00000179611	chr13	Owl_monkey	transcript ablation	processed_pseudogene
LINC00392	ENSG00000228295	chr13	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00392	ENSG00000228295	chr13	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
HSPD1P8	ENSG00000215357	chr13	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
HSPD1P8	ENSG00000215357	chr13	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AL357153.2	ENSG00000257759	chr14	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL357153.2	ENSG00000257759	chr14	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
DGLUCY	ENSG00000133943	chr14	Bonobo	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Chimpanzee	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Gorilla	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Orangutan	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Gibbon	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Macaque_indian	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DGLUCY	ENSG00000133943	chr14	Owl_monkey	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
RPL3P4	ENSG00000232573	chr14	Bonobo	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Chimpanzee	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Gorilla	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Orangutan	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Gibbon	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Macaque_indian	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Marmoset	transcript ablation	processed_pseudogene
RPL3P4	ENSG00000232573	chr14	Owl_monkey	transcript ablation	processed_pseudogene
AC066615.1	ENSG00000284540	chr15	Bonobo	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Chimpanzee	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Gorilla	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Orangutan	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Gibbon	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Macaque_indian	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Marmoset	transcript ablation	TEC
AC066615.1	ENSG00000284540	chr15	Owl_monkey	transcript ablation	TEC
LINC01229	ENSG00000260876	chr16	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01229	ENSG00000260876	chr16	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Bonobo	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Chimpanzee	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Gorilla	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Orangutan	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Gibbon	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR2117HG	ENSG00000267151	chr17	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008278.1	ENSG00000224194	chr2	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007318.1	ENSG00000172974	chr2	Bonobo	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Chimpanzee	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Gorilla	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Orangutan	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Gibbon	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Macaque_indian	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Marmoset	transcript ablation	processed_pseudogene
AC007318.1	ENSG00000172974	chr2	Owl_monkey	transcript ablation	processed_pseudogene
AC007389.3	ENSG00000235725	chr2	Bonobo	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Chimpanzee	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Gorilla	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Orangutan	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Gibbon	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007389.3	ENSG00000235725	chr2	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Bonobo	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Chimpanzee	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Gorilla	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Orangutan	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Gibbon	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.7	ENSG00000286045	chr2	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC013262.1	ENSG00000233444	chr2	Bonobo	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Chimpanzee	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Gorilla	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Orangutan	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Gibbon	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Macaque_indian	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Marmoset	transcript ablation	processed_pseudogene
AC013262.1	ENSG00000233444	chr2	Owl_monkey	transcript ablation	processed_pseudogene
FSIP2	ENSG00000188738	chr2	Bonobo	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Chimpanzee	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Gorilla	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Orangutan	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Gibbon	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Macaque_indian	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Marmoset	protein_altering_variant	protein_coding
FSIP2	ENSG00000188738	chr2	Owl_monkey	protein_altering_variant	protein_coding
HNRNPCP2	ENSG00000204253	chr2	Bonobo	transcript ablation	processed_pseudogene
HNRNPCP2	ENSG00000204253	chr2	Chimpanzee	transcript ablation	processed_pseudogene
